Code,Description,Source URL
A00-,ICD-10 Version:2016 - English,https://icd.who.int/browse10/2019/en#/A00-A09
A00,Cholera,https://icd.who.int/browse10/2019/en#/A00-A09
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae Incl.: Classical cholera",https://icd.who.int/browse10/2019/en#/A00-A09
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor Incl.: Cholera eltor",https://icd.who.int/browse10/2019/en#/A00-A09
A00.9,"Cholera, unspecified",https://icd.who.int/browse10/2019/en#/A00-A09
A01,Typhoid and paratyphoid fevers,https://icd.who.int/browse10/2019/en#/A00-A09
A01.0,Typhoid fever Incl.: Infection due to Salmonella typhi,https://icd.who.int/browse10/2019/en#/A00-A09
A01.1,Paratyphoid fever A,https://icd.who.int/browse10/2019/en#/A00-A09
A01.2,Paratyphoid fever B,https://icd.who.int/browse10/2019/en#/A00-A09
A01.3,Paratyphoid fever C,https://icd.who.int/browse10/2019/en#/A00-A09
A01.4,"Paratyphoid fever, unspecified Incl.: Infection due to Salmonella paratyphi NOS",https://icd.who.int/browse10/2019/en#/A00-A09
A02,Other salmonella infections Incl.: infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,https://icd.who.int/browse10/2019/en#/A00-A09
A02.0,Salmonella enteritis Incl.: Salmonellosis,https://icd.who.int/browse10/2019/en#/A00-A09
A02.1,Salmonella sepsis,https://icd.who.int/browse10/2019/en#/A00-A09
A02.2,Localized salmonella infections Incl.: Salmonella: arthritis† (M01.3*) meningitis† (G01*) osteomyelitis† (M90.2*) pneumonia† (J17.0*) renal tubulo-interstitial disease† (N16.0*),https://icd.who.int/browse10/2019/en#/A00-A09
A02.8,Other specified salmonella infections,https://icd.who.int/browse10/2019/en#/A00-A09
A02.9,"Salmonella infection, unspecified",https://icd.who.int/browse10/2019/en#/A00-A09
A03,Shigellosis,https://icd.who.int/browse10/2019/en#/A00-A09
A03.0,Shigellosis due to Shigella dysenteriae Incl.: Group A shigellosis [Shiga-Kruse dysentery],https://icd.who.int/browse10/2019/en#/A00-A09
A03.1,Shigellosis due to Shigella flexneri Incl.: Group B shigellosis,https://icd.who.int/browse10/2019/en#/A00-A09
A03.2,Shigellosis due to Shigella boydii Incl.: Group C shigellosis,https://icd.who.int/browse10/2019/en#/A00-A09
A03.3,Shigellosis due to Shigella sonnei Incl.: Group D shigellosis,https://icd.who.int/browse10/2019/en#/A00-A09
A03.8,Other shigellosis,https://icd.who.int/browse10/2019/en#/A00-A09
A03.9,"Shigellosis, unspecified Incl.: Bacillary dysentery NOS",https://icd.who.int/browse10/2019/en#/A00-A09
A04,Other bacterial intestinal infections Excl.: foodborne intoxications elsewhere classified tuberculous enteritis (A18.3),https://icd.who.int/browse10/2019/en#/A00-A09
A04.0,Enteropathogenic Escherichia coli infection,https://icd.who.int/browse10/2019/en#/A00-A09
A04.1,Enterotoxigenic Escherichia coli infection,https://icd.who.int/browse10/2019/en#/A00-A09
A04.2,Enteroinvasive Escherichia coli infection,https://icd.who.int/browse10/2019/en#/A00-A09
A04.3,Enterohaemorrhagic Escherichia coli infection,https://icd.who.int/browse10/2019/en#/A00-A09
A04.4,Other intestinal Escherichia coli infections Incl.: Escherichia coli enteritis NOS,https://icd.who.int/browse10/2019/en#/A00-A09
A04.5,Campylobacter enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A04.6,Enteritis due to Yersinia enterocolitica Excl.: extraintestinal yersiniosis (A28.2),https://icd.who.int/browse10/2019/en#/A00-A09
A04.7,Enterocolitis due to Clostridium difficile Incl.: Foodborne intoxication by Clostridium difficile Pseudomembranous colitis,https://icd.who.int/browse10/2019/en#/A00-A09
A04.8,Other specified bacterial intestinal infections,https://icd.who.int/browse10/2019/en#/A00-A09
A04.9,"Bacterial intestinal infection, unspecified Incl.: Bacterial enteritis NOS",https://icd.who.int/browse10/2019/en#/A00-A09
A05,"Other bacterial foodborne intoxications, not elsewhere classified Excl.: Clostridium difficile foodborne intoxication and infection (A04.7) Escherichia coli infection (A04.0-A04.4) listeriosis (A32.-) salmonella foodborne intoxication and infection (A02.-) toxic effect of noxious foodstuffs (T61-T62)",https://icd.who.int/browse10/2019/en#/A00-A09
A05.0,Foodborne staphylococcal intoxication,https://icd.who.int/browse10/2019/en#/A00-A09
A05.1,Botulism Incl.: Classical foodborne intoxication due to Clostridium botulinum,https://icd.who.int/browse10/2019/en#/A00-A09
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication Incl.: Enteritis necroticans Pig-bel,https://icd.who.int/browse10/2019/en#/A00-A09
A05.3,Foodborne Vibrio parahaemolyticus intoxication,https://icd.who.int/browse10/2019/en#/A00-A09
A05.4,Foodborne Bacillus cereus intoxication,https://icd.who.int/browse10/2019/en#/A00-A09
A05.8,Other specified bacterial foodborne intoxications,https://icd.who.int/browse10/2019/en#/A00-A09
A05.9,"Bacterial foodborne intoxication, unspecified",https://icd.who.int/browse10/2019/en#/A00-A09
A06,Amoebiasis Incl.: infection due to Entamoeba histolytica Excl.: other protozoal intestinal diseases (A07.-),https://icd.who.int/browse10/2019/en#/A00-A09
A06.0,Acute amoebic dysentery Incl.: Acute amoebiasis Intestinal amoebiasis NOS,https://icd.who.int/browse10/2019/en#/A00-A09
A06.1,Chronic intestinal amoebiasis,https://icd.who.int/browse10/2019/en#/A00-A09
A06.2,Amoebic nondysenteric colitis,https://icd.who.int/browse10/2019/en#/A00-A09
A06.3,Amoeboma of intestine Incl.: Amoeboma NOS,https://icd.who.int/browse10/2019/en#/A00-A09
A06.7,Cutaneous amoebiasis,https://icd.who.int/browse10/2019/en#/A00-A09
A06.8,Amoebic infection of other sites Incl.: Amoebic: appendicitis balanitis† (N51.2*),https://icd.who.int/browse10/2019/en#/A00-A09
A06.9,"Amoebiasis, unspecified",https://icd.who.int/browse10/2019/en#/A00-A09
A07,Other protozoal intestinal diseases,https://icd.who.int/browse10/2019/en#/A00-A09
A07.0,Balantidiasis Incl.: Balantidial dysentery,https://icd.who.int/browse10/2019/en#/A00-A09
A07.1,Giardiasis [lambliasis],https://icd.who.int/browse10/2019/en#/A00-A09
A07.2,Cryptosporidiosis,https://icd.who.int/browse10/2019/en#/A00-A09
A07.3,Isosporiasis Incl.: Infection due to Isospora belli and Isospora hominis Intestinal coccidiosis Isosporosis,https://icd.who.int/browse10/2019/en#/A00-A09
A07.8,Other specified protozoal intestinal diseases Incl.: Intestinal trichomoniasis Sarcocystosis Sarcosporidiosis,https://icd.who.int/browse10/2019/en#/A00-A09
A07.9,"Protozoal intestinal disease, unspecified Incl.: Flagellate diarrhoea Protozoal: colitis diarrhoea dysentery",https://icd.who.int/browse10/2019/en#/A00-A09
A08,"Viral and other specified intestinal infections Excl.: influenza with involvement of gastrointestinal tract (J09, J10.8, J11.8)",https://icd.who.int/browse10/2019/en#/A00-A09
A08.0,Rotaviral enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A08.1,Acute gastroenteropathy due to Norovirus Incl.: Noroviral enteritis Small round structured virus enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A08.2,Adenoviral enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A08.3,Other viral enteritis,https://icd.who.int/browse10/2019/en#/A00-A09
A08.4,"Viral intestinal infection, unspecified Incl.: Viral: enteritis NOS gastroenteritis NOS gastroenteropathy NOS",https://icd.who.int/browse10/2019/en#/A00-A09
A08.5,Other specified intestinal infections,https://icd.who.int/browse10/2019/en#/A00-A09
A09,"Other gastroenteritis and colitis of infectious and unspecified origin Excl.: due to bacterial, protozoal, viral and other specified infectious agents (A00-A08) noninfective (see noninfectious) diarrhoea (K52.9) noninfective (see noninfectious) diarrhoea neonatal (P78.3)",https://icd.who.int/browse10/2019/en#/A00-A09
A09.0,"Other and unspecified gastroenteritis and colitis of infectious origin Incl.: Catarrh, enteric or intestinal Diarrhoea: acute bloody acute haemorrhagic acute watery dysenteric epidemic Infectious or septic colitis enteritis gastroenteritis NOS haemorrhagic Infectious (neonatal) diarrhoea NOS",https://icd.who.int/browse10/2019/en#/A00-A09
A09.9,Gastroenteritis and colitis of unspecified origin Incl.: Neonatal diarrhoea NOS Excl.: indeterminate colitis (K52.3),https://icd.who.int/browse10/2019/en#/A00-A09
A15-,ICD-10 Version:2016 - English,https://icd.who.int/browse10/2019/en#/A15-A19
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",https://icd.who.int/browse10/2019/en#/A15-A19
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture Incl.: Tuberculosis of lung, bacteriologically confirmed Tuberculous: bronchiectasis fibrosis of lung pneumonia pneumothorax confirmed bacteriologically with or without culture Excl.: confirmed by culture only (A15.1)",https://icd.who.int/browse10/2019/en#/A15-A19
A15.1,"Tuberculosis of lung, confirmed by culture only Incl.: Conditions listed in A15.0, confirmed by culture only",https://icd.who.int/browse10/2019/en#/A15-A19
