Code,Description
T20,-T32
T17.5,)
T17.8,)
T18.1,)
T17.4,)
T08,)
T33,-T35
S40,-S49
T09.3,)
T09,.-
T63.4,)
S20,
S20.0,
S20.1,
S20.2,
S20.3,
S20.4,
S20.7,
S20.8,
S21,
S27.2,)
S27.1,)
S27.0,)
S21.0,
S21.1,
S21.2,
S21.7,
S21.8,
S21.9,
S22,
S42.0,)
S42.1,)
S22.0,
S22.1,
S22.2,
S22.3,
S22.4,
S22.5,
S22.8,
S22.9,
S23,
S43.2,","
S43.6,)
M51,.-
S23.0,
S23.1,
S23.2,
S23.3,
S23.4,
S23.5,
S24,
S14.3,)
S24.0,
S24.1,
S24.2,
S24.3,
S24.4,
S24.5,
S24.6,
S25,
S25.0,
S25.1,
S25.2,
S25.3,
S25.4,
S25.5,
S25.7,
S25.8,
S25.9,
S26,
S26.0,
S26.8,
S26.9,
S27,
S10,-S19
S27.3,
S27.4,
S27.5,
S27.6,
S27.7,
S27.8,
S27.9,
S28,
S28.0,
S28.1,
T05.8,)
S29,
S29.0,
S29.7,
S29.8,
S29.9,
S00,-S09
S30,-S39
S50,-S59
S60,-S69
S70,-S79
S80,-S89
S90,-S99
T00,-T07
T15,-T19
T36,-T50
T51,-T65
T66,-T78
T79,-T79
T80,-T88
T90,-T98
